sequence_name,collection_date,country,state,county,host,GenBank_Accession,SRA_Accession
NJ0814COE28,2014-08-09,United States, Colorado, Larimer,Equine,OP971337,SAMN32117530
NJ0814COE21,2014-08-08,United States, Colorado, Boulder,Equine,OP971330,SAMN32117452
NJ0814COE20,2014-08-07,United States, Colorado, Larimer,Equine,OP971329,SAMN32117451
NJ0814COE22,2014-08-07,United States, Colorado, Larimer,Equine,OP971331,SAMN32117453
NJ0814COE19,2014-08-06,United States, Colorado, Larimer,Equine,OP971328,SAMN32117450
NJ0814COE13,2014-08-05,United States, Colorado, Weld,Equine,OP971323,SAMN32117445
NJ0814COE15,2014-08-05,United States, Colorado, Weld,Equine,OP971325,SAMN32117447
NJ0814COE16,2014-08-05,United States, Colorado, Jefferson,Equine,OP971326,SAMN32117448
NJ0814COE17,2014-08-05,United States, Colorado, Larimer,Equine,OP971327,SAMN32117449
NJ0814COB,2014-08-04,United States, Colorado, Boulder,Bovine,OP971310,SAMN32117432
NJ0814COE6,2014-08-04,United States, Colorado, Boulder,Equine,OP971316,SAMN32117438
NJ0814COE7,2014-08-04,United States, Colorado, Boulder,Equine,OP971317,SAMN32117439
NJ0814COE8,2014-08-04,United States, Colorado, Larimer,Equine,OP971318,SAMN32117440
NJ0814COE9,2014-08-04,United States, Colorado, Larimer,Equine,OP971319,SAMN32117441
NJ0814COE10,2014-08-04,United States, Colorado, Larimer,Equine,OP971320,SAMN32117442
NJ0814COE11,2014-08-04,United States, Colorado, Larimer,Equine,OP971321,SAMN32117443
NJ0814COE14,2014-08-04,United States, Colorado, Weld,Equine,OP971324,SAMN32117446
NJ0814COE1,2014-08-01,United States, Colorado, Larimer,Equine,OP971311,SAMN32117433
NJ0814COE2,2014-08-01,United States, Colorado, Boulder,Equine,OP971312,SAMN32117434
NJ0814COE3,2014-08-01,United States, Colorado, Weld,Equine,OP971313,SAMN32117435
NJ0814COE4,2014-08-01,United States, Colorado, Weld,Equine,OP971314,SAMN32117436
NJ0814COE5,2014-08-01,United States, Colorado, Douglas,Equine,OP971315,SAMN32117437
NJ0814COE12,2014-08-01,United States, Colorado, Weld,Equine,OP971322,SAMN32117444
NJ0714COE29,2014-07-31,United States, Colorado, Boulder,Equine,OP971295,SAMN32117099
NJ0714COE30,2014-07-31,United States, Colorado, Larimer,Equine,OP971296,SAMN32117418
NJ0714COE31,2014-07-31,United States, Colorado, Larimer,Equine,OP971297,SAMN32117419
NJ0714COE32,2014-07-31,United States, Colorado, Larimer,Equine,OP971298,SAMN32117420
NJ0714COE33,2014-07-31,United States, Colorado, Larimer,Equine,OP971299,SAMN32117421
NJ0714COE25,2014-07-30,United States, Colorado, Boulder,Equine,OP971291,SAMN32117095
NJ0714COE26,2014-07-30,United States, Colorado, Weld,Equine,OP971292,SAMN32117096
NJ0714COE28,2014-07-30,United States, Colorado, Boulder,Equine,OP971294,SAMN32117098
NJ0714COE22,2014-07-29,United States, Colorado, Larimer,Equine,OP971288,SAMN32117092
NJ0714COE23,2014-07-29,United States, Colorado, Larimer,Equine,OP971289,SAMN32117093
NJ0714COE24,2014-07-29,United States, Colorado, Weld,Equine,OP971290,SAMN32117094
NJ0714TXE8,2014-07-29,United States, Texas, Travis,Equine,OP971309,SAMN32117431
NJ0714COE27,2014-07-28,United States, Colorado, Weld,Equine,OP971293,SAMN32117097
NJ0714TXE6,2014-07-28,United States, Texas, Falls,Equine,OP971307,SAMN32117429
NJ0714TXE7,2014-07-28,United States, Texas, Falls,Equine,OP971308,SAMN32117430
NJ0714COE13,2014-07-25,United States, Colorado, Weld,Equine,OP971279,SAMN32117083
NJ0714COE15,2014-07-25,United States, Colorado, Weld,Equine,OP971281,SAMN32117085
NJ0714COE16,2014-07-25,United States, Colorado, Weld,Equine,OP971282,SAMN32117086
NJ0714COE17,2014-07-25,United States, Colorado, Weld,Equine,OP971283,SAMN32117087
NJ0714COE18,2014-07-25,United States, Colorado, Weld,Equine,OP971284,SAMN32117088
NJ0714COE19,2014-07-25,United States, Colorado, Weld,Equine,OP971285,SAMN32117089
NJ0714COE20,2014-07-25,United States, Colorado, Boulder,Equine,OP971286,SAMN32117090
NJ0714COE21,2014-07-25,United States, Colorado, Boulder,Equine,OP971287,SAMN32117091
NJ0714TXE5,2014-07-25,United States, Texas, Bastrop,Equine,OP971306,SAMN32117428
NJ0714COE12,2014-07-24,United States, Colorado, Weld,Equine,OP971278,SAMN32117082
NJ0714COE14,2014-07-24,United States, Colorado, Weld,Equine,OP971280,SAMN32117084
NJ0714TXE1,2014-07-24,United States, Texas, Bastrop,Equine,OP971302,SAMN32117424
NJ0714TXE2,2014-07-24,United States, Texas, Bastrop,Equine,OP971303,SAMN32117425
NJ0714TXE3,2014-07-24,United States, Texas, Travis,Equine,OP971304,SAMN32117426
NJ0714TXE4,2014-07-24,United States, Texas, Travis,Equine,OP971305,SAMN32117427
NJ0714COE10,2014-07-23,United States, Colorado, Boulder,Equine,OP971276,SAMN32117080
NJ0714COE11,2014-07-23,United States, Colorado, El Paso,Equine,OP971277,SAMN32117081
NJ0714COE9,2014-07-22,United States, Colorado, Boulder,Equine,OP971275,SAMN32117079
NJ0714COE5,2014-07-21,United States, Colorado, Weld,Equine,OP971271,SAMN32117075
NJ0714COE6,2014-07-21,United States, Colorado, Weld,Equine,OP971272,SAMN32117076
NJ0714COE7,2014-07-21,United States, Colorado, Boulder,Equine,OP971273,SAMN32117077
NJ0714COE8,2014-07-21,United States, Colorado, Boulder,Equine,OP971274,SAMN32117078
NJ0714TXB1,2014-07-21,United States, Texas, Bastrop,Bovine,OP971300,SAMN32117422
NJ0714TXB2,2014-07-21,United States, Texas, Bastrop,Bovine,OP971301,SAMN32117423
NJ0714COE4,2014-07-19,United States, Colorado, Weld,Equine,OP971270,SAMN32117074
NJ0714COE3,2014-07-18,United States, Colorado, Weld,Equine,OP971269,SAMN32117073
NJ0714COE1,2014-07-09,United States, Colorado, Weld,Equine,OP971267,SAMN32117071
NJ0714COE2,2014-07-09,United States, Colorado, Weld,Equine,OP971268,SAMN32117072
NJ0614TXE1,2014-06-11,United States, Texas, San Patricio,Equine,OP971266,SAMN32117070
NJ0514TXE1,2014-05-20,United States, Texas, Kinney,Equine,OP971264,SAMN32117068
NJ0514TXE2,2014-05-20,United States, Texas, Kinney,Equine,OP971265,SAMN32117069
NJ0113CHB,2013-01-13,Mexico, Chihuahua,,Bovine,OP971263,SAMN32117067
NJ0612NME6,2012-06-14,United States, New Mexico, Socorro,Equine,OP971261,SAMN32117065
NJ0612NME7,2012-06-14,United States, New Mexico, Socorro,Equine,OP971262,SAMN32117066
NJ0612NME5,2012-06-13,United States, New Mexico, San Miguel,Equine,OP971260,SAMN32117064
NJ0512NME1,2012-05-29,United States, New Mexico, Valencia,Equine,OP971259,SAMN32117063
